artist,title
Daft Punk,One More Time
Modjo,Lady (Hear Me Tonight)
Disclosure,Latch
Duke Dumont,I Got U
The Weeknd,Blinding Lights
a-ha,Take On Me
Billie Eilish,when the party's over
Skrillex,Bangarang
